id_Gemeinde;Gemeinde_Name;id_Gemarkung;Gemarkung_Name;id_Kreis;Kreis_Name
13003000;Rostock, Hanse- und Universitätsstadt;132218;Diedrichshagen;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132219;Groß Klein;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132220;Schmarl;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132221;Lütten Klein;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132222;Evershagen;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132223;Marienehe;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132224;Schutow;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132225;Biestow;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132226;Dalwitzhof;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132227;Kassebohm;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132228;Riekdahl;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132229;Alt Bartelsdorf;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132230;Toitenwinkel;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132231;Gehlsdorf;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132232;Krummendorf;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132233;Petersdorf;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132234;Peez;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132235;Stuthof;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132236;Nienhagen;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132237;Hinrichsdorf;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132238;Rostocker Heide;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132239;Warnemünde;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132240;Flurbezirk I;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132241;Flurbezirk II;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132242;Flurbezirk III;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132243;Flurbezirk IV;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132244;Flurbezirk V;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132245;Flurbezirk VI;13003;Hanse- und Universitätsstadt Rostock
13003000;Rostock, Hanse- und Universitätsstadt;132246;Die Warnow (hist.);13003;Hanse- und Universitätsstadt Rostock
13004000;Schwerin, Landeshauptstadt;130755;Warnitz;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130756;Friedrichsthal;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130757;Lankow;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130758;Klein Medewege;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130759;Groß Medewege;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130760;Wickendorf;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130761;Schelfwerder;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130762;Mueß;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130763;Zippendorf;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130764;Göhren Stadt Schwerin;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130765;Krebsförden;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130766;Görries;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130767;Neumühle;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130768;Schwerin;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130769;Schweriner See;13004;Landeshauptstadt Schwerin
13004000;Schwerin, Landeshauptstadt;130770;Wüstmark;13004;Landeshauptstadt Schwerin
13071001;Alt Schwerin;131532;Alt Schwerin;13071;Landkreis Meckl. Seenplatte
13071001;Alt Schwerin;131533;Jürgenshof;13071;Landkreis Meckl. Seenplatte
13071001;Alt Schwerin;131534;Werder;13071;Landkreis Meckl. Seenplatte
13071002;Altenhagen;133923;Altenhagen;13071;Landkreis Meckl. Seenplatte
13071002;Altenhagen;133924;Neuenhagen;13071;Landkreis Meckl. Seenplatte
13071002;Altenhagen;133925;Philippshof;13071;Landkreis Meckl. Seenplatte
13071003;Altenhof;131338;Altenhof;13071;Landkreis Meckl. Seenplatte
13071003;Altenhof;131339;Darze;13071;Landkreis Meckl. Seenplatte
13071004;Altentreptow, Stadt;133926;Altentreptow;13071;Landkreis Meckl. Seenplatte
13071004;Altentreptow, Stadt;133927;Buchar;13071;Landkreis Meckl. Seenplatte
13071004;Altentreptow, Stadt;133928;Glückauf;13071;Landkreis Meckl. Seenplatte
13071004;Altentreptow, Stadt;133929;Klatzow;13071;Landkreis Meckl. Seenplatte
13071004;Altentreptow, Stadt;133930;Loickenzin;13071;Landkreis Meckl. Seenplatte
13071004;Altentreptow, Stadt;133931;Rosemarsow;13071;Landkreis Meckl. Seenplatte
13071004;Altentreptow, Stadt;133932;Thalberg;13071;Landkreis Meckl. Seenplatte
13071005;Ankershagen, Schliemanngemeinde;131535;Ankershagen;13071;Landkreis Meckl. Seenplatte
13071005;Ankershagen, Schliemanngemeinde;131536;Bocksee;13071;Landkreis Meckl. Seenplatte
13071005;Ankershagen, Schliemanngemeinde;131537;Friedrichsfelde;13071;Landkreis Meckl. Seenplatte
13071005;Ankershagen, Schliemanngemeinde;131538;Rumpshagen;13071;Landkreis Meckl. Seenplatte
13071006;Bartow;133933;Bartow;13071;Landkreis Meckl. Seenplatte
13071006;Bartow;133934;Groß Below;13071;Landkreis Meckl. Seenplatte
13071006;Bartow;133935;Pritzenow;13071;Landkreis Meckl. Seenplatte
13071006;Bartow;133938;Breest;13071;Landkreis Meckl. Seenplatte
13071006;Bartow;133939;Klempenow;13071;Landkreis Meckl. Seenplatte
13071007;Basedow;133818;Basedow;13071;Landkreis Meckl. Seenplatte
13071007;Basedow;133819;Remplin;13071;Landkreis Meckl. Seenplatte
13071008;Beggerow;133684;Beggerow;13071;Landkreis Meckl. Seenplatte
13071008;Beggerow;133685;Buschmühl;13071;Landkreis Meckl. Seenplatte
13071008;Beggerow;133686;Gatschow;13071;Landkreis Meckl. Seenplatte
13071008;Beggerow;133687;Glendelin;13071;Landkreis Meckl. Seenplatte
13071008;Beggerow;133688;Kaslin;13071;Landkreis Meckl. Seenplatte
13071009;Beseritz;134017;Beseritz;13071;Landkreis Meckl. Seenplatte
13071010;Blankenhof;134018;Blankenhof;13071;Landkreis Meckl. Seenplatte
13071010;Blankenhof;134019;Chemnitz;13071;Landkreis Meckl. Seenplatte
13071010;Blankenhof;134020;Gevezin;13071;Landkreis Meckl. Seenplatte
13071011;Blankensee;131417;Blankensee;13071;Landkreis Meckl. Seenplatte
13071011;Blankensee;131418;Groß Schönfeld;13071;Landkreis Meckl. Seenplatte
13071011;Blankensee;131487;Rödlin;13071;Landkreis Meckl. Seenplatte
13071011;Blankensee;131499;Watzkendorf;13071;Landkreis Meckl. Seenplatte
13071012;Blumenholz;131419;Blumenholz;13071;Landkreis Meckl. Seenplatte
13071012;Blumenholz;131420;Usadel;13071;Landkreis Meckl. Seenplatte
13071012;Blumenholz;131509;Thurow Flur 2;13071;Landkreis Meckl. Seenplatte
13071013;Bollewick;131340;Bollewick;13071;Landkreis Meckl. Seenplatte
13071013;Bollewick;131341;Spitzkuhn;13071;Landkreis Meckl. Seenplatte
13071013;Bollewick;131362;Kambs;13071;Landkreis Meckl. Seenplatte
13071013;Bollewick;131363;Wildkuhl;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133693;Borrentin;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133694;Schwichtenberg;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133714;Gnevezow;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133715;Moltzahn;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133716;Wolkwitz;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133749;Lindenhof;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133750;Metschow;13071;Landkreis Meckl. Seenplatte
13071014;Borrentin;133751;Pentz;13071;Landkreis Meckl. Seenplatte
13071015;Bredenfelde;133820;Bredenfelde;13071;Landkreis Meckl. Seenplatte
13071016;Breesen;133936;Breesen;13071;Landkreis Meckl. Seenplatte
13071016;Breesen;133937;Kalübbe;13071;Landkreis Meckl. Seenplatte
13071016;Breesen;133969;Pinnow;13071;Landkreis Meckl. Seenplatte
13071018;Briggow;133821;Briggow;13071;Landkreis Meckl. Seenplatte
13071018;Briggow;133822;Sülten;13071;Landkreis Meckl. Seenplatte
13071019;Brunn;134025;Brunn;13071;Landkreis Meckl. Seenplatte
13071019;Brunn;134026;Dahlen;13071;Landkreis Meckl. Seenplatte
13071019;Brunn;134027;Ganzkow;13071;Landkreis Meckl. Seenplatte
13071019;Brunn;134028;Roggenhagen;13071;Landkreis Meckl. Seenplatte
13071020;Buchholz;131342;Buchholz;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134029;Bargensdorf;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134030;Burg Stargard;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134031;Quastenberg;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134032;Sabel;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134033;Cammin;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134034;Godenswege;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134035;Riepke;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134077;Gramelow;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134078;Loitz;13071;Landkreis Meckl. Seenplatte
13071021;Burg Stargard, Stadt;134079;Teschendorf;13071;Landkreis Meckl. Seenplatte
13071022;Burow;133985;Burow;13071;Landkreis Meckl. Seenplatte
13071022;Burow;133986;Mühlenhagen;13071;Landkreis Meckl. Seenplatte
13071022;Burow;133987;Weltzin;13071;Landkreis Meckl. Seenplatte
13071023;Bütow;131343;Bütow;13071;Landkreis Meckl. Seenplatte
